Time,Station,Location,Value
2026-03-26 14:57:34,KIM NGƯU,(CỐNG LÒ ĐÚC - KIM NGƯU),353
2026-03-26 14:57:34,KIM NGƯU,(TL CỐNG QUAY),328
2026-03-26 14:57:35,YÊN SỞ A TL,(ĐẬP CAO SU A TL),334
2026-03-26 14:57:35,YÊN SỞ A HL,(ĐẬP CAO SU A HL),320
2026-03-26 14:57:35,YÊN SỞ B TL,(ĐẬP CAO SU B TL ),331
2026-03-26 14:57:35,YÊN SỞ B HL,(ĐẬP CAO SU B HL ),319
2026-03-26 14:57:36,YÊN SỞ C TL,( ĐẬP CAO SU C TL),328
2026-03-26 14:57:36,YÊN SỞ C HL,(ĐẬP CAO SU C HL),320
2026-03-26 14:57:36,YÊN SỞ,(ĐỒNG CHÌ TL),441
2026-03-26 14:57:36,YÊN SỞ,(ĐỒNG CHÌ HL),275
2026-03-26 14:57:37,YÊN SỞ,(KÊNH O),272
2026-03-26 14:57:37,YÊN SỞ,(KÊNH E),274
2026-03-26 14:57:37,CẦU FPT,(CẦU FPT),362
2026-03-26 14:57:37,SÔNG TÔ LỊCH,(HOÀNG QUỐC VIỆT),329
2026-03-26 14:57:37,SÔNG TÔ LỊCH,(CẦU CỐNG MỌC),321
2026-03-26 14:57:38,SÔNG TÔ LỊCH,(CẦU LỦ),335
2026-03-26 14:57:38,SÔNG TÔ LỊCH (TL),(ĐẬP THANH LIỆT TL ),278
2026-03-26 14:57:38,SÔNG TÔ LỊCH (HL),(ĐẬP THANH LIỆT HL),233
2026-03-26 14:57:38,SÔNG LỪ - ĐẶNG VĂN NGỮ,(ĐẶNG VĂN NGỮ),339
2026-03-26 14:57:39,SÔNG LỪ - CẦU ĐỊNH CÔNG,(CẦU ĐỊNH CÔNG),329
2026-03-26 14:57:39,SÔNG LỪ -HL CĐT LỪ SÉT,(HL CĐT LỪ SÉT),342
2026-03-26 14:57:39,SÔNG LỪ - TL CĐT LỪ SÉT,(TL CĐT LỪ SÉT),365
2026-03-26 14:57:39,SÔNG LỪ - ĐẶNG XUÂN BẢNG,(ĐẶNG XUÂN BẢNG),328
2026-03-26 14:57:40,SÔNG SÉT,(TL CỐNG QUAY),319
2026-03-26 14:57:40,SÔNG SÉT,(CẦU NGUYỄN AN NINH),
2026-03-26 14:57:40,SÔNG NHUỆ (ĐB I),(TB ĐỒNG BÔNG I),339
2026-03-26 14:57:41,SÔNG NHUỆ,(CỔ NHUẾ),347
2026-03-26 14:57:41,SÔNG NHUỆ,(THƯỢNG LƯU TB CẦU BƯƠU),260
2026-03-26 14:57:42,SÔNG NHUỆ,(HẠ LƯU TB CẦU BƯƠU),271
2026-03-26 14:57:42,SÔNG NHUỆ,(CỐNG HÀ ĐÔNG),264
2026-03-26 14:57:42,SÔNG NHUỆ,(TB KHÊ TANG),332
2026-03-26 14:57:43,SÔNG CẦU NGÀ,(TB CẦU NGÀ),337
2026-03-26 14:57:43,VĂN ĐIỂN,(HL ĐẬP VĂN ĐIỂN),277
2026-03-26 14:57:43,VĂN ĐIỂN,(TL ĐẬP VĂN ĐIỂN),441
2026-03-26 14:57:43,ĐẬP NGHĨA ĐÔ HL,(HOÀNG QUỐC VIỆT),348
2026-03-26 14:57:44,KÊNH LA KHÊ,(TB YÊN NGHĨA),271
2026-03-26 14:57:44,TB CẦU CHUI,(TB CẦU CHUI),364
2026-03-26 14:57:44,ĐẬP TRẠI LỢN,(HL ĐẬP TRẠI LỢN),260
2026-03-26 14:57:44,CẦU ĐÀI TƯ,(HL MƯƠNG HAI LÀNG),267
2026-03-26 14:57:45,TRẠM BƠM PHÚC ĐỒNG,(THƯỢNG LƯU CỐNG),329
2026-03-26 14:57:45,KÊNH KÈ ĐÁ VIỆT HƯNG,(VIỆT HƯNG),356
2026-03-26 14:57:45,SÔNG CẦU ĐÁ,(TL CỐNG TRẦN CUNG),351
2026-03-26 14:57:45,CỐNG ĐÀM Q.TRUNG,(HẠ LƯU),337
2026-03-26 14:57:45,ĐẬP XUÂN THỤY,(HL ĐẬP XUÂN THỤY),212
2026-03-26 14:57:46,TB CẦU ĐÔNG TRÙ,(ĐÔNG TRÙ),
2026-03-26 14:57:46,MƯƠNG NGỌC HÀ,(MƯƠNG NGỌC HÀ),349
2026-03-26 14:57:46,HỒ TÂY A TL,(67 TRÍCH SÀI),588
2026-03-26 14:57:46,HỒ TÂY A HL,(67 TRÍCH SÀI),413
2026-03-26 14:57:47,HỒ TÂY B TL,( 292 LẠC LONG QUÂN),586
2026-03-26 14:57:47,HỒ TÂY B HL,(292 LẠC LONG QUÂN),549
2026-03-26 14:57:47,HỒ HOÀN KIẾM,(ĐỀN NGỌC SƠN),771
2026-03-26 14:57:47,HỒ TRÚC BẠCH,(1A TRẤN VŨ),563
2026-03-26 14:57:48,HỒ LINH ĐÀM,(TRẠM BƠM HỒ LINH ĐÀM),342
2026-03-26 14:57:48,HỒ BẢY MẪU,(TRẠM BƠM HỒ BẢY MẪU),357
2026-03-26 14:57:48,HỒ GIẢNG VÕ,(TRẠM BƠM HỒ GIẢNG VÕ),350
2026-03-26 14:57:48,HỒ ĐỐNG ĐA,(TRẠM BƠM HỒ ĐỐNG ĐA),352
2026-03-26 14:57:48,HỒ THIỀN QUANG,(CỬA PHAI HỒ XUÂN HƯƠNG),432
2026-03-26 14:57:49,HỒ KIM LIÊN,(TRẠM BƠM HỒ KIM LIÊN),375
2026-03-26 14:57:49,HỒ THÀNH CÔNG,(TRẠM BƠM HỒ THÀNH CÔNG),352
2026-03-26 14:57:49,HỒ XÃ ĐÀN,(TRẠM BƠM HỒ XÃ ĐÀN),348
2026-03-26 14:57:49,HỒ CẦU TÌNH,(TRẠM BƠM HỒ CẦU TÌNH),343
2026-03-26 14:57:50,HỒ ĐỀN LỪ,(TRẠM BƠM HỒ ĐỀN LỪ),355
2026-03-26 14:57:50,HỒ NGHĨA TÂN,(CÔNG VIÊN NGHĨA ĐÔ),352
2026-03-26 14:57:50,NGỌC KHÁNH,(HỒ NGỌC KHÁNH),334
2026-03-26 14:57:50,HỒ KHƯƠNG TRUNG 1,(HỒ KHƯƠNG TRUNG 1),354
2026-03-26 14:57:51,VĂN QUÁN,(HỒ VĂN QUÁN),414
2026-03-26 14:57:51,HỒ TAI TRÂU,(HỒ TAI TRÂU),376
2026-03-26 14:57:51,HỒ TÂN MAI,(HỒ TÂN MAI),350
2026-03-26 14:57:51,HỒ ĐỊNH CÔNG,(HỒ ĐỊNH CÔNG),354
